Date,Open,High,Low,Close,Volume
,7888.T,7888.T,7888.T,7888.T,7888.T
2025-04-17,540.0,553.0,540.0,553.0,97200
2025-04-18,555.0,572.0,555.0,572.0,128000
2025-04-21,569.0,576.0,563.0,568.0,99000
2025-04-22,568.0,573.0,565.0,569.0,81900
2025-04-23,578.0,581.0,573.0,577.0,82900
2025-04-24,582.0,589.0,578.0,582.0,104800
2025-04-25,582.0,593.0,582.0,591.0,78700
2025-04-28,598.0,613.0,598.0,606.0,183400
2025-04-30,608.0,612.0,599.0,609.0,122100
2025-05-01,608.0,609.0,602.0,603.0,85600
2025-05-02,606.0,610.0,601.0,604.0,100800
2025-05-07,610.0,611.0,603.0,603.0,68400
2025-05-08,606.0,607.0,600.0,601.0,58300
2025-05-09,601.0,610.0,601.0,606.0,90600
2025-05-12,610.0,622.0,610.0,621.0,77300
2025-05-13,624.0,633.0,619.0,620.0,126900
2025-05-14,623.0,626.0,614.0,622.0,76100
2025-05-15,618.0,623.0,617.0,619.0,65200
2025-05-16,619.0,624.0,611.0,621.0,96300
2025-05-19,622.0,629.0,618.0,624.0,106600
2025-05-20,625.0,634.0,623.0,626.0,123200
2025-05-21,628.0,633.0,624.0,626.0,97200
2025-05-22,620.0,622.0,615.0,616.0,98000
2025-05-23,616.0,623.0,614.0,621.0,87400
2025-05-26,621.0,625.0,620.0,620.0,73500
2025-05-27,620.0,629.0,618.0,629.0,131900
2025-05-28,629.0,631.0,619.0,623.0,407000
2025-05-29,611.0,620.0,608.0,617.0,222400
2025-05-30,607.0,622.0,606.0,619.0,153200
2025-06-02,617.0,620.0,615.0,617.0,93900
2025-06-03,615.0,621.0,612.0,617.0,67700
2025-06-04,619.0,624.0,616.0,616.0,98800
2025-06-05,613.0,616.0,608.0,608.0,51200
2025-06-06,608.0,611.0,607.0,607.0,47400
2025-06-09,608.0,610.0,601.0,604.0,64200
2025-06-10,605.0,609.0,604.0,604.0,62800
2025-06-11,604.0,609.0,604.0,605.0,66600
2025-06-12,609.0,609.0,604.0,604.0,31400
2025-06-13,602.0,602.0,595.0,597.0,88500
2025-06-16,601.0,606.0,597.0,606.0,69700
2025-06-17,608.0,610.0,605.0,609.0,33900
2025-06-18,609.0,613.0,606.0,613.0,51800
2025-06-19,615.0,615.0,611.0,613.0,59300
2025-06-20,610.0,622.0,610.0,615.0,102300
2025-06-23,615.0,624.0,611.0,623.0,99900
2025-06-24,630.0,639.0,625.0,639.0,103100
2025-06-25,639.0,641.0,629.0,638.0,95900
2025-06-26,639.0,650.0,639.0,650.0,117400
2025-06-27,650.0,666.0,650.0,661.0,164800
2025-06-30,665.0,680.0,662.0,680.0,244900
2025-07-01,670.0,670.0,650.0,668.0,173500
2025-07-02,652.0,662.0,651.0,651.0,135800
2025-07-03,651.0,652.0,639.0,652.0,150900
2025-07-04,654.0,656.0,650.0,655.0,54200
2025-07-07,654.0,655.0,648.0,652.0,87400
2025-07-08,652.0,663.0,652.0,657.0,129200
2025-07-09,667.0,676.0,667.0,675.0,120500
2025-07-10,676.0,683.0,670.0,676.0,319000
2025-07-11,765.0,776.0,754.0,776.0,1128900
2025-07-14,799.0,807.0,762.0,768.0,1105900
2025-07-15,774.0,795.0,766.0,784.0,453700
2025-07-16,784.0,803.0,784.0,794.0,326300
2025-07-17,794.0,800.0,780.0,789.0,211200
