Date,Open,High,Low,Close,Volume
,7735.T,7735.T,7735.T,7735.T,7735.T
2025-04-17,9109.0,9639.0,8991.0,9576.0,1875000
2025-04-18,9449.0,9485.0,9165.0,9196.0,1462800
2025-04-21,9154.0,9263.0,9087.0,9149.0,779400
2025-04-22,9160.0,9208.0,9022.0,9051.0,951700
2025-04-23,9255.0,9263.0,8950.0,9037.0,1908900
2025-04-24,9150.0,9265.0,9083.0,9125.0,1145800
2025-04-25,9358.0,9607.0,9357.0,9607.0,1226600
2025-04-28,9700.0,9730.0,9414.0,9414.0,1013200
2025-04-30,9381.0,9464.0,9288.0,9464.0,1178300
2025-05-01,9585.0,9607.0,9382.0,9604.0,878500
2025-05-02,9619.0,9687.0,9516.0,9660.0,905800
2025-05-07,9678.0,9727.0,9628.0,9724.0,747000
2025-05-08,9773.0,10000.0,9758.0,9857.0,1105400
2025-05-09,10010.0,10070.0,9866.0,10070.0,1515500
2025-05-12,10115.0,10570.0,9856.0,10550.0,1861100
2025-05-13,10990.0,11100.0,10660.0,10935.0,1581600
2025-05-14,11220.0,11480.0,11160.0,11470.0,1322700
2025-05-15,11290.0,11405.0,11015.0,11070.0,1081000
2025-05-16,11000.0,11000.0,10550.0,10595.0,1043600
2025-05-19,10595.0,10700.0,10515.0,10575.0,752100
2025-05-20,10545.0,10740.0,10455.0,10465.0,769700
2025-05-21,10420.0,10570.0,10370.0,10510.0,592700
2025-05-22,10450.0,10515.0,10285.0,10475.0,782600
2025-05-23,10400.0,10500.0,10265.0,10330.0,653500
2025-05-26,10340.0,10550.0,10275.0,10515.0,639500
2025-05-27,10570.0,10575.0,10365.0,10515.0,493700
2025-05-28,10685.0,10720.0,10495.0,10520.0,683800
2025-05-29,10820.0,10890.0,10510.0,10690.0,990900
2025-05-30,10420.0,10480.0,10275.0,10350.0,1095100
2025-06-02,10200.0,10240.0,9901.0,9928.0,1124000
2025-06-03,10140.0,10240.0,10000.0,10070.0,769000
2025-06-04,10270.0,10485.0,10250.0,10290.0,1025300
2025-06-05,10305.0,10700.0,10305.0,10500.0,1096800
2025-06-06,10495.0,10820.0,10430.0,10820.0,870100
2025-06-09,10860.0,10910.0,10550.0,10615.0,1273600
2025-06-10,10830.0,10940.0,10650.0,10705.0,1254500
2025-06-11,10865.0,10975.0,10765.0,10950.0,1088100
2025-06-12,10885.0,10925.0,10615.0,10690.0,980200
2025-06-13,10610.0,10640.0,10125.0,10180.0,1320300
2025-06-16,10340.0,10450.0,10280.0,10390.0,914800
2025-06-17,10565.0,10935.0,10555.0,10850.0,1372600
2025-06-18,10660.0,11135.0,10645.0,11080.0,1207100
2025-06-19,11080.0,11090.0,10615.0,10635.0,957500
2025-06-20,10680.0,10985.0,10605.0,10785.0,1694700
2025-06-23,10485.0,10640.0,10175.0,10615.0,1333200
2025-06-24,10900.0,11220.0,10865.0,11040.0,1636100
2025-06-25,11340.0,11460.0,11070.0,11310.0,1470900
2025-06-26,11510.0,11720.0,11420.0,11585.0,1911000
2025-06-27,11700.0,11990.0,11635.0,11890.0,2098400
2025-06-30,12060.0,12155.0,11700.0,11760.0,2047800
2025-07-01,11595.0,11635.0,11330.0,11415.0,1188500
2025-07-02,11100.0,11460.0,11000.0,11290.0,1248800
2025-07-03,11540.0,11700.0,11435.0,11665.0,1538300
2025-07-04,11880.0,12280.0,11795.0,12045.0,2996500
2025-07-07,11920.0,12110.0,11755.0,11855.0,1129200
2025-07-08,11800.0,12170.0,11695.0,12020.0,1734000
2025-07-09,12250.0,12320.0,11980.0,12160.0,1306000
2025-07-10,12190.0,12220.0,11985.0,11995.0,1410200
2025-07-11,12130.0,12165.0,11870.0,11980.0,1050100
2025-07-14,11905.0,12080.0,11790.0,11820.0,814000
2025-07-15,11790.0,12090.0,11665.0,12090.0,1199300
2025-07-16,12170.0,12350.0,12005.0,12060.0,1612500
2025-07-17,11850.0,12050.0,11740.0,11990.0,716900
